[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 4308.48it/s]
logs/74705cc9-13e5-4e28-83d8-746918cba22c.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 8, 16, 24, 32, 40, 48, 56, 64, 65, 66, 67, 68, 72, 80, 88, 96, 104, 112, 120, 128, 131, 132, 133, 134, 136, 144, 152, 160, 168, 176, 184, 192, 198, 199, 200] for warmup
loco_full step=0 v_gram_ema refreshed=1 mean_diag=1.6384e+04 min=1.2373e+04 p01=1.3093e+04 p50=1.6199e+04 p99=2.1603e+04 max=2.4543e+04
loco_full step=1 v_gram_ema refreshed=0 mean_diag=1.6384e+04 min=1.2373e+04 p01=1.3093e+04 p50=1.6199e+04 p99=2.1603e+04 max=2.4543e+04
loco_diag_grad_ratio step=1 full_v:n=10 mean=9.9951e-01 min=9.9950e-01 max=9.9952e-01
Resetting Model
step:0/200 val_loss:10.8280 train_time:0ms step_avg:0.11ms
step:78/200 train_time:54205ms step_avg:694.94ms
step:79/200 train_time:55412ms step_avg:701.42ms
step:80/200 train_time:56618ms step_avg:707.73ms
step:81/200 train_time:58153ms step_avg:717.94ms
step:82/200 train_time:59235ms step_avg:722.38ms
step:83/200 train_time:60492ms step_avg:728.82ms
step:84/200 train_time:61750ms step_avg:735.12ms
step:85/200 train_time:63001ms step_avg:741.19ms
step:86/200 train_time:64254ms step_avg:747.14ms
step:87/200 train_time:65500ms step_avg:752.87ms
step:88/200 train_time:66753ms step_avg:758.56ms
step:89/200 train_time:68331ms step_avg:767.76ms
step:90/200 train_time:69400ms step_avg:771.11ms
step:91/200 train_time:70651ms step_avg:776.39ms
step:92/200 train_time:71898ms step_avg:781.51ms
step:93/200 train_time:73148ms step_avg:786.54ms
step:94/200 train_time:74405ms step_avg:791.54ms
step:95/200 train_time:75658ms step_avg:796.40ms
step:96/200 train_time:76901ms step_avg:801.05ms
step:97/200 train_time:78470ms step_avg:808.97ms
step:98/200 train_time:79540ms step_avg:811.63ms
step:99/200 train_time:80788ms step_avg:816.04ms
step:100/200 train_time:82041ms step_avg:820.41ms
step:100/200 val_loss:4.6889 train_time:82215ms step_avg:822.15ms
loco_full step=100 v_gram_ema refreshed=0 mean_diag=2.2018e+04 min=1.2166e+04 p01=1.3624e+04 p50=2.0508e+04 p99=4.4638e+04 max=6.1556e+04
loco_diag_grad_ratio step=100 full_v:n=10 mean=9.4069e-01 min=9.3683e-01 max=9.4367e-01
step:101/200 train_time:83644ms step_avg:828.16ms
step:102/200 train_time:84771ms step_avg:831.09ms
step:103/200 train_time:86035ms step_avg:835.29ms
step:104/200 train_time:87272ms step_avg:839.16ms
step:105/200 train_time:88835ms step_avg:846.05ms
step:106/200 train_time:89889ms step_avg:848.01ms
step:107/200 train_time:91129ms step_avg:851.67ms
step:108/200 train_time:92369ms step_avg:855.27ms
step:109/200 train_time:93616ms step_avg:858.86ms
step:110/200 train_time:94859ms step_avg:862.35ms
step:111/200 train_time:96100ms step_avg:865.77ms
step:112/200 train_time:97333ms step_avg:869.04ms
step:113/200 train_time:98896ms step_avg:875.19ms
step:114/200 train_time:99958ms step_avg:876.83ms
step:115/200 train_time:101197ms step_avg:879.98ms
step:116/200 train_time:102436ms step_avg:883.07ms
step:117/200 train_time:103676ms step_avg:886.12ms
step:118/200 train_time:104922ms step_avg:889.17ms
step:119/200 train_time:106149ms step_avg:892.01ms
step:120/200 train_time:107389ms step_avg:894.91ms
step:121/200 train_time:108943ms step_avg:900.36ms
step:122/200 train_time:110001ms step_avg:901.65ms
step:123/200 train_time:111227ms step_avg:904.29ms
step:124/200 train_time:112470ms step_avg:907.01ms
step:125/200 train_time:113711ms step_avg:909.69ms
step:126/200 train_time:114948ms step_avg:912.29ms
step:127/200 train_time:116184ms step_avg:914.84ms
step:128/200 train_time:117434ms step_avg:917.46ms
step:129/200 train_time:118670ms step_avg:919.92ms
step:130/200 train_time:119922ms step_avg:922.48ms
step:131/200 train_time:121161ms step_avg:924.89ms
step:132/200 train_time:122414ms step_avg:927.38ms
step:133/200 train_time:123652ms step_avg:929.71ms
step:134/200 train_time:125470ms step_avg:936.34ms
step:135/200 train_time:127356ms step_avg:943.37ms
step:136/200 train_time:129253ms step_avg:950.39ms
step:137/200 train_time:131148ms step_avg:957.29ms
step:138/200 train_time:133048ms step_avg:964.12ms
step:139/200 train_time:134950ms step_avg:970.86ms
step:140/200 train_time:136847ms step_avg:977.48ms
step:141/200 train_time:138730ms step_avg:983.90ms
step:142/200 train_time:140619ms step_avg:990.27ms
step:143/200 train_time:142507ms step_avg:996.55ms
step:144/200 train_time:144409ms step_avg:1002.84ms
step:145/200 train_time:146305ms step_avg:1009.00ms
step:146/200 train_time:148188ms step_avg:1014.99ms
step:147/200 train_time:150083ms step_avg:1020.97ms
step:148/200 train_time:151954ms step_avg:1026.71ms
step:149/200 train_time:153849ms step_avg:1032.54ms
step:150/200 train_time:155743ms step_avg:1038.29ms
step:150/200 val_loss:4.1214 train_time:155994ms step_avg:1039.96ms
step:151/200 train_time:157622ms step_avg:1043.85ms
step:152/200 train_time:159504ms step_avg:1049.37ms
step:153/200 train_time:161320ms step_avg:1054.38ms
step:154/200 train_time:163131ms step_avg:1059.29ms
step:155/200 train_time:165186ms step_avg:1065.71ms
step:156/200 train_time:167064ms step_avg:1070.92ms
step:157/200 train_time:168885ms step_avg:1075.70ms
step:158/200 train_time:170709ms step_avg:1080.44ms
step:159/200 train_time:172591ms step_avg:1085.48ms
step:160/200 train_time:174530ms step_avg:1090.81ms
step:161/200 train_time:176469ms step_avg:1096.08ms
step:162/200 train_time:178325ms step_avg:1100.77ms
step:163/200 train_time:180177ms step_avg:1105.38ms
step:164/200 train_time:182025ms step_avg:1109.91ms
step:165/200 train_time:183882ms step_avg:1114.44ms
step:166/200 train_time:185752ms step_avg:1118.99ms
step:167/200 train_time:187687ms step_avg:1123.88ms
step:168/200 train_time:189604ms step_avg:1128.60ms
