[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 33825.03it/s]
logs/ed659f85-189a-4c3e-b577-7cc1a69828ae.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 65, 66, 67, 68, 131, 132, 133, 134, 198, 199, 200] for warmup
Resetting Model
step:0/200 val_loss:10.8274 train_time:0ms step_avg:0.03ms
step:115/200 train_time:56157ms step_avg:488.32ms
step:116/200 train_time:56830ms step_avg:489.91ms
step:117/200 train_time:57501ms step_avg:491.46ms
step:118/200 train_time:58171ms step_avg:492.98ms
step:119/200 train_time:58840ms step_avg:494.46ms
step:120/200 train_time:59512ms step_avg:495.93ms
step:121/200 train_time:60182ms step_avg:497.37ms
step:122/200 train_time:60853ms step_avg:498.80ms
step:123/200 train_time:61524ms step_avg:500.19ms
step:124/200 train_time:62195ms step_avg:501.57ms
step:125/200 train_time:62865ms step_avg:502.92ms
step:126/200 train_time:63536ms step_avg:504.25ms
step:127/200 train_time:64209ms step_avg:505.59ms
step:128/200 train_time:64879ms step_avg:506.86ms
step:129/200 train_time:65549ms step_avg:508.13ms
step:130/200 train_time:66223ms step_avg:509.40ms
step:131/200 train_time:66895ms step_avg:510.65ms
step:132/200 train_time:67566ms step_avg:511.86ms
step:133/200 train_time:68237ms step_avg:513.06ms
step:134/200 train_time:69198ms step_avg:516.40ms
step:135/200 train_time:70194ms step_avg:519.95ms
step:136/200 train_time:71185ms step_avg:523.42ms
step:137/200 train_time:72177ms step_avg:526.84ms
step:138/200 train_time:73170ms step_avg:530.22ms
step:139/200 train_time:74158ms step_avg:533.51ms
step:140/200 train_time:75149ms step_avg:536.78ms
step:141/200 train_time:76142ms step_avg:540.01ms
step:142/200 train_time:77134ms step_avg:543.20ms
step:143/200 train_time:78126ms step_avg:546.34ms
step:144/200 train_time:79119ms step_avg:549.43ms
step:145/200 train_time:80112ms step_avg:552.50ms
step:146/200 train_time:81104ms step_avg:555.51ms
step:147/200 train_time:82099ms step_avg:558.49ms
step:148/200 train_time:83091ms step_avg:561.43ms
step:149/200 train_time:84086ms step_avg:564.33ms
step:150/200 train_time:85075ms step_avg:567.17ms
step:150/200 val_loss:4.1320 train_time:85215ms step_avg:568.10ms
step:151/200 train_time:86068ms step_avg:569.99ms
step:152/200 train_time:87062ms step_avg:572.78ms
step:153/200 train_time:88060ms step_avg:575.56ms
step:154/200 train_time:89053ms step_avg:578.27ms
step:155/200 train_time:90048ms step_avg:580.95ms
step:156/200 train_time:91041ms step_avg:583.60ms
step:157/200 train_time:92039ms step_avg:586.23ms
step:158/200 train_time:93033ms step_avg:588.81ms
step:159/200 train_time:94030ms step_avg:591.38ms
step:160/200 train_time:95024ms step_avg:593.90ms
step:161/200 train_time:96026ms step_avg:596.43ms
step:162/200 train_time:97020ms step_avg:598.89ms
step:163/200 train_time:98016ms step_avg:601.32ms
step:164/200 train_time:99010ms step_avg:603.72ms
step:165/200 train_time:100008ms step_avg:606.11ms
step:166/200 train_time:101000ms step_avg:608.43ms
step:167/200 train_time:101994ms step_avg:610.74ms
step:168/200 train_time:102986ms step_avg:613.01ms
step:169/200 train_time:103983ms step_avg:615.28ms
step:170/200 train_time:104979ms step_avg:617.53ms
step:171/200 train_time:105972ms step_avg:619.72ms
step:172/200 train_time:106968ms step_avg:621.90ms
step:173/200 train_time:107967ms step_avg:624.09ms
step:174/200 train_time:108961ms step_avg:626.21ms
step:175/200 train_time:109956ms step_avg:628.32ms
step:176/200 train_time:110951ms step_avg:630.41ms
step:177/200 train_time:111947ms step_avg:632.47ms
step:178/200 train_time:112941ms step_avg:634.50ms
step:179/200 train_time:113937ms step_avg:636.52ms
