[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2865.45it/s]
logs/be3a4fa5-b8e4-4da6-82ed-1162db0a2beb.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 8, 65, 66, 67, 68, 72, 131, 132, 133, 134, 136] for warmup
Resetting Model
step:0/200 val_loss:10.8297 train_time:0ms step_avg:0.03ms
step:75/200 train_time:44490ms step_avg:593.20ms step_ms:1240.89 refresh:0
step:76/200 train_time:45707ms step_avg:601.41ms step_ms:1217.23 refresh:0
step:77/200 train_time:46911ms step_avg:609.23ms step_ms:1203.26 refresh:0
step:78/200 train_time:48127ms step_avg:617.01ms step_ms:1216.23 refresh:0
step:79/200 train_time:49325ms step_avg:624.37ms step_ms:1198.13 refresh:0
step:80/200 train_time:50534ms step_avg:631.67ms step_ms:1208.59 refresh:0
step:81/200 train_time:51739ms step_avg:638.75ms step_ms:1205.04 refresh:0
step:82/200 train_time:52957ms step_avg:645.81ms step_ms:1218.19 refresh:0
step:83/200 train_time:54163ms step_avg:652.57ms step_ms:1206.56 refresh:0
step:84/200 train_time:55377ms step_avg:659.25ms step_ms:1213.85 refresh:0
step:85/200 train_time:56580ms step_avg:665.65ms step_ms:1202.82 refresh:0
step:86/200 train_time:57790ms step_avg:671.97ms step_ms:1209.71 refresh:0
step:87/200 train_time:58992ms step_avg:678.07ms step_ms:1202.65 refresh:0
step:88/200 train_time:60208ms step_avg:684.19ms step_ms:1216.06 refresh:0
step:89/200 train_time:61424ms step_avg:690.16ms step_ms:1215.96 refresh:0
step:90/200 train_time:62674ms step_avg:696.37ms step_ms:1249.14 refresh:0
step:91/200 train_time:63947ms step_avg:702.71ms step_ms:1273.46 refresh:0
step:92/200 train_time:65233ms step_avg:709.05ms step_ms:1285.80 refresh:0
step:93/200 train_time:66508ms step_avg:715.14ms step_ms:1275.59 refresh:0
step:94/200 train_time:67785ms step_avg:721.12ms step_ms:1277.02 refresh:0
step:95/200 train_time:69006ms step_avg:726.38ms step_ms:1220.36 refresh:0
step:96/200 train_time:70230ms step_avg:731.57ms step_ms:1224.52 refresh:0
step:97/200 train_time:71445ms step_avg:736.54ms step_ms:1214.52 refresh:0
step:98/200 train_time:72669ms step_avg:741.52ms step_ms:1224.47 refresh:0
step:99/200 train_time:73882ms step_avg:746.28ms step_ms:1212.88 refresh:0
step:100/200 train_time:75233ms step_avg:752.33ms step_ms:1350.54 refresh:0
step:100/200 val_loss:4.6782 train_time:75419ms step_avg:754.19ms
step:101/200 train_time:76400ms step_avg:756.44ms step_ms:1167.76 refresh:0
step:102/200 train_time:77562ms step_avg:760.42ms step_ms:1161.91 refresh:0
step:103/200 train_time:78717ms step_avg:764.24ms step_ms:1154.38 refresh:0
step:104/200 train_time:79964ms step_avg:768.89ms step_ms:1247.67 refresh:0
step:105/200 train_time:81210ms step_avg:773.43ms step_ms:1245.61 refresh:0
step:106/200 train_time:82465ms step_avg:777.97ms step_ms:1254.84 refresh:0
step:107/200 train_time:83702ms step_avg:782.26ms step_ms:1236.79 refresh:0
step:108/200 train_time:84950ms step_avg:786.58ms step_ms:1248.81 refresh:0
step:109/200 train_time:86192ms step_avg:790.75ms step_ms:1241.22 refresh:0
step:110/200 train_time:87436ms step_avg:794.88ms step_ms:1244.71 refresh:0
step:111/200 train_time:88678ms step_avg:798.90ms step_ms:1241.67 refresh:0
step:112/200 train_time:89926ms step_avg:802.91ms step_ms:1248.15 refresh:0
step:113/200 train_time:91165ms step_avg:806.77ms step_ms:1238.92 refresh:0
step:114/200 train_time:92411ms step_avg:810.63ms step_ms:1246.11 refresh:0
step:115/200 train_time:93613ms step_avg:814.02ms step_ms:1201.54 refresh:0
step:116/200 train_time:94815ms step_avg:817.37ms step_ms:1202.40 refresh:0
step:117/200 train_time:96010ms step_avg:820.60ms step_ms:1195.05 refresh:0
step:118/200 train_time:97214ms step_avg:823.85ms step_ms:1203.77 refresh:0
step:119/200 train_time:98409ms step_avg:826.97ms step_ms:1195.23 refresh:0
