step:57/200 train_time:32355ms step_avg:567.62ms
step:58/200 train_time:32851ms step_avg:566.39ms
step:59/200 train_time:33442ms step_avg:566.81ms
step:60/200 train_time:34035ms step_avg:567.25ms
step:61/200 train_time:34669ms step_avg:568.35ms
step:62/200 train_time:35325ms step_avg:569.76ms
step:63/200 train_time:35911ms step_avg:570.01ms
step:64/200 train_time:36504ms step_avg:570.37ms
step:65/200 train_time:37288ms step_avg:573.66ms
step:66/200 train_time:37831ms step_avg:573.19ms
step:67/200 train_time:38461ms step_avg:574.05ms
step:68/200 train_time:39645ms step_avg:583.02ms
step:69/200 train_time:40899ms step_avg:592.74ms
step:70/200 train_time:42112ms step_avg:601.60ms
step:71/200 train_time:43320ms step_avg:610.14ms
step:72/200 train_time:44535ms step_avg:618.55ms
step:73/200 train_time:46076ms step_avg:631.18ms
step:74/200 train_time:47207ms step_avg:637.93ms
step:75/200 train_time:48494ms step_avg:646.58ms
step:76/200 train_time:49744ms step_avg:654.52ms
step:77/200 train_time:50993ms step_avg:662.25ms
step:78/200 train_time:52240ms step_avg:669.74ms
step:79/200 train_time:53495ms step_avg:677.15ms
step:80/200 train_time:54759ms step_avg:684.48ms
step:81/200 train_time:56316ms step_avg:695.26ms
step:82/200 train_time:57354ms step_avg:699.44ms
step:83/200 train_time:58563ms step_avg:705.58ms
step:84/200 train_time:59772ms step_avg:711.57ms
step:85/200 train_time:61186ms step_avg:719.83ms
step:86/200 train_time:62444ms step_avg:726.10ms
step:87/200 train_time:63700ms step_avg:732.19ms
step:88/200 train_time:64958ms step_avg:738.16ms
step:89/200 train_time:66532ms step_avg:747.55ms
step:90/200 train_time:67599ms step_avg:751.10ms
step:91/200 train_time:68855ms step_avg:756.65ms
step:92/200 train_time:70106ms step_avg:762.02ms
step:93/200 train_time:71358ms step_avg:767.29ms
step:94/200 train_time:72620ms step_avg:772.55ms
step:95/200 train_time:73885ms step_avg:777.74ms
step:96/200 train_time:75141ms step_avg:782.72ms
step:97/200 train_time:76725ms step_avg:790.98ms
step:98/200 train_time:77801ms step_avg:793.89ms
step:99/200 train_time:79064ms step_avg:798.63ms
step:100/200 train_time:80319ms step_avg:803.19ms
step:100/200 val_loss:4.6906 train_time:80499ms step_avg:804.99ms
loco_full step=100 v_gram_ema refreshed=0 mean_diag=2.2018e+04 min=1.1737e+04 p01=1.3563e+04 p50=2.0605e+04 p99=4.3425e+04 max=8.5805e+04
loco_diag_grad_ratio step=100 full_v:n=10 mean=9.4005e-01 min=9.3590e-01 max=9.4328e-01
step:101/200 train_time:81930ms step_avg:811.19ms
step:102/200 train_time:83139ms step_avg:815.09ms
step:103/200 train_time:84413ms step_avg:819.54ms
step:104/200 train_time:85691ms step_avg:823.95ms
step:105/200 train_time:87292ms step_avg:831.35ms
step:106/200 train_time:88396ms step_avg:833.93ms
step:107/200 train_time:89619ms step_avg:837.56ms
step:108/200 train_time:90828ms step_avg:841.00ms
step:109/200 train_time:92205ms step_avg:845.91ms
step:110/200 train_time:93541ms step_avg:850.37ms
step:111/200 train_time:94788ms step_avg:853.95ms
step:112/200 train_time:96022ms step_avg:857.34ms
step:113/200 train_time:97590ms step_avg:863.63ms
step:114/200 train_time:98661ms step_avg:865.45ms
step:115/200 train_time:99919ms step_avg:868.86ms
