125 4.650000
250 4.116890
375 3.932860
500 3.826110
625 3.758440
750 3.712360
875 3.671280
1000 3.638100
1125 3.607790
1250 3.577790
1375 3.548540
1500 3.524560
1625 3.502430
1750 3.479810
1875 3.459620
2000 3.440190
2125 3.422990
2250 3.404530
2375 3.387260
2500 3.370230
2625 3.353010
2750 3.336740
2875 3.320730
2925 3.313930
2950 3.311060
2975 3.307910
3000 3.305250
3025 3.301750
3050 3.298840
3075 3.296340
3100 3.293730
3125 3.291520
3150 3.289130
3175 3.287230
3200 3.285510
3225 3.284220
3250 3.283690
