125 0.009455
250 0.002000
375 0.002040
500 -0.000235
625 0.000235
750 0.001270
875 0.001195
1000 0.000700
1125 0.001645
1250 0.002655
1375 0.000040
1500 -0.000140
1625 -0.000480
1750 -0.000455
1875 0.000235
2000 0.000250
2125 0.000720
2250 0.000755
2375 0.000590
2500 0.000995
2625 0.000505
2750 0.000920
2875 0.000635
3000 0.000640
3025 0.000555
3050 0.000590
3075 0.000635
3100 0.000645
3125 0.000625
3150 0.000655
3175 0.000595
3200 0.000600
3225 0.000550
3250 0.000590
3275 0.000610
3300 0.000600
3325 0.000615
