125 4.647815
250 4.108260
375 3.928800
500 3.827385
625 3.758415
750 3.711640
875 3.672455
1000 3.639010
1125 3.613035
1250 3.581385
1375 3.554450
1500 3.526890
1625 3.508140
1750 3.484975
1875 3.465015
2000 3.446380
2125 3.428650
2250 3.410765
2375 3.394470
2500 3.378335
2625 3.360755
2750 3.344710
2875 3.328645
3000 3.312800
3025 3.308875
3050 3.305870
3075 3.302955
3100 3.300125
3125 3.297455
3150 3.294375
3175 3.291855
3200 3.289300
3225 3.286920
3250 3.284900
3275 3.283060
3300 3.281510
3325 3.280345
