125 4.657270
250 4.110260
375 3.930840
500 3.827150
625 3.758650
750 3.712910
875 3.673650
1000 3.639710
1125 3.614680
1250 3.584040
1375 3.554490
1500 3.526750
1625 3.507660
1750 3.484520
1875 3.465250
2000 3.446630
2125 3.429370
2250 3.411520
2375 3.395060
2500 3.379330
2625 3.361260
2750 3.345630
2875 3.329280
3000 3.313440
3025 3.309430
3050 3.306460
3075 3.303590
3100 3.300770
3125 3.298080
3150 3.295030
3175 3.292450
3200 3.289900
3225 3.287470
3250 3.285490
3275 3.283670
3300 3.282110
3325 3.280960
3350 3.280380
