label	step	loss	delta_vs_prime_mean
Prime3350 mean	2375	3.39447	0.000000
Prime3350 mean	2500	3.37833	0.000000
Prime3350 mean	2625	3.36076	0.000000
Prime3350 mean	2750	3.34471	0.000000
Prime3350 mean	2875	3.32864	0.000000
Prime3350 mean	3000	3.31280	0.000000
Prime3350 mean	3025	3.30888	0.000000
Prime3350 mean	3050	3.30587	0.000000
Prime3350 mean	3075	3.30295	0.000000
Prime3350 mean	3100	3.30012	0.000000
Prime3350 mean	3125	3.29746	0.000000
Prime3350 mean	3150	3.29438	0.000000
Prime3350 mean	3175	3.29185	0.000000
Prime3350 mean	3200	3.28930	0.000000
Prime3350 mean	3225	3.28692	0.000000
Prime3350 mean	3250	3.28490	0.000000
Prime3350 mean	3275	3.28306	0.000000
Prime3350 mean	3300	3.28151	0.000000
Prime3350 mean	3325	3.28034	0.000000
Prime3350 seed200	125	4.65727	0.009455
Prime3350 seed200	250	4.11026	0.002000
Prime3350 seed200	375	3.93084	0.002040
Prime3350 seed200	500	3.82715	-0.000235
Prime3350 seed200	625	3.75865	0.000235
Prime3350 seed200	750	3.71291	0.001270
Prime3350 seed200	875	3.67365	0.001195
Prime3350 seed200	1000	3.63971	0.000700
Prime3350 seed200	1125	3.61468	0.001645
Prime3350 seed200	1250	3.58404	0.002655
Prime3350 seed200	1375	3.55449	0.000040
Prime3350 seed200	1500	3.52675	-0.000140
Prime3350 seed200	1625	3.50766	-0.000480
Prime3350 seed200	1750	3.48452	-0.000455
Prime3350 seed200	1875	3.46525	0.000235
Prime3350 seed200	2000	3.44663	0.000250
Prime3350 seed200	2125	3.42937	0.000720
Prime3350 seed200	2250	3.41152	0.000755
Prime3350 seed200	2375	3.39506	0.000590
Prime3350 seed200	2500	3.37933	0.000995
Prime3350 seed200	2625	3.36126	0.000505
Prime3350 seed200	2750	3.34563	0.000920
Prime3350 seed200	2875	3.32928	0.000635
Prime3350 seed200	3000	3.31344	0.000640
Prime3350 seed200	3025	3.30943	0.000555
Prime3350 seed200	3050	3.30646	0.000590
Prime3350 seed200	3075	3.30359	0.000635
Prime3350 seed200	3100	3.30077	0.000645
Prime3350 seed200	3125	3.29808	0.000625
Prime3350 seed200	3150	3.29503	0.000655
Prime3350 seed200	3175	3.29245	0.000595
Prime3350 seed200	3200	3.28990	0.000600
Prime3350 seed200	3225	3.28747	0.000550
Prime3350 seed200	3250	3.28549	0.000590
Prime3350 seed200	3275	3.28367	0.000610
Prime3350 seed200	3300	3.28211	0.000600
Prime3350 seed200	3325	3.28096	0.000615
Prime3350 seed200	3350	3.28038	
Prime3350 seed300	125	4.63836	-0.009455
Prime3350 seed300	250	4.10626	-0.002000
Prime3350 seed300	375	3.92676	-0.002040
Prime3350 seed300	500	3.82762	0.000235
Prime3350 seed300	625	3.75818	-0.000235
Prime3350 seed300	750	3.71037	-0.001270
Prime3350 seed300	875	3.67126	-0.001195
Prime3350 seed300	1000	3.63831	-0.000700
Prime3350 seed300	1125	3.61139	-0.001645
Prime3350 seed300	1250	3.57873	-0.002655
Prime3350 seed300	1375	3.55441	-0.000040
Prime3350 seed300	1500	3.52703	0.000140
Prime3350 seed300	1625	3.50862	0.000480
Prime3350 seed300	1750	3.48543	0.000455
Prime3350 seed300	1875	3.46478	-0.000235
Prime3350 seed300	2000	3.44613	-0.000250
Prime3350 seed300	2125	3.42793	-0.000720
Prime3350 seed300	2250	3.41001	-0.000755
Prime3350 seed300	2375	3.39388	-0.000590
Prime3350 seed300	2500	3.37734	-0.000995
Prime3350 seed300	2625	3.36025	-0.000505
Prime3350 seed300	2750	3.34379	-0.000920
Prime3350 seed300	2875	3.32801	-0.000635
Prime3350 seed300	3000	3.31216	-0.000640
Prime3350 seed300	3025	3.30832	-0.000555
Prime3350 seed300	3050	3.30528	-0.000590
Prime3350 seed300	3075	3.30232	-0.000635
Prime3350 seed300	3100	3.29948	-0.000645
Prime3350 seed300	3125	3.29683	-0.000625
Prime3350 seed300	3150	3.29372	-0.000655
Prime3350 seed300	3175	3.29126	-0.000595
Prime3350 seed300	3200	3.28870	-0.000600
Prime3350 seed300	3225	3.28637	-0.000550
Prime3350 seed300	3250	3.28431	-0.000590
Prime3350 seed300	3275	3.28245	-0.000610
Prime3350 seed300	3300	3.28091	-0.000600
Prime3350 seed300	3325	3.27973	-0.000615
