label	step	val_loss
live blend 2000->2400	2475	3.36290
live blend 2000->2400	2500	3.35942
live blend 2000->2400	2525	3.35628
live blend 2000->2400	2550	3.35204
live blend 2000->2400	2575	3.34800
live blend 2000->2400	2600	3.34475
live blend 2000->2400	2625	3.34091
live blend 2000->2400	2650	3.33719
live blend 2000->2400	2675	3.33330
live blend 2000->2400	2700	3.33044
live blend 2000->2400	2725	3.32731
live blend 2000->2400	2750	3.32394
live blend 2000->2400	2775	3.32050
live blend 2000->2400	2800	3.31720
live blend 2000->2400	2825	3.31460
live blend 2000->2400	2850	3.31209
live blend 2000->2400	2875	3.30963
live blend 2000->2400	2900	3.30715
live blend 2000->2400	2925	3.30458
live blend 2000->2400	2950	3.30253
live blend 2000->2400	2975	3.30069
live blend 2000->2400	3000	3.29903
live blend 2000->2600	1600	3.48242
live blend 2000->2600	1625	3.47974
live blend 2000->2600	1650	3.47471
live blend 2000->2600	1675	3.47086
live blend 2000->2600	1700	3.46690
live blend 2000->2600	1725	3.46223
live blend 2000->2600	1750	3.45903
live blend 2000->2600	1775	3.45659
live blend 2000->2600	1800	3.44919
live blend 2000->2600	1825	3.44609
live blend 2000->2600	1850	3.44355
live blend 2000->2600	1875	3.43905
live blend 2000->2600	1900	3.43442
live blend 2000->2600	1925	3.43038
live blend 2000->2600	1950	3.42742
live blend 2000->2600	1975	3.42340
live blend 2000->2600	2000	3.41919
live blend 2000->2600	2025	3.41568
live blend 2000->2600	2050	3.41287
live blend 2000->2600	2075	3.40988
live blend 2000->2600	2100	3.40577
live blend 2000->2600	2125	3.40253
live blend 2000->2600	2150	3.39885
live blend 2000->2600	2175	3.39606
live blend 2000->2600	2200	3.39238
live blend 2000->2600	2225	3.39074
live blend 2000->2600	2250	3.38796
live blend 2000->2600	2275	3.38405
live blend 2000->2600	2300	3.38161
live blend 2000->2600	2325	3.37919
live blend 2000->2600	2350	3.37688
live blend 2000->2600	2375	3.37327
live blend 2000->2600	2400	3.36955
live blend 2000->2600	2425	3.36684
live blend 2000->2600	2450	3.36316
live blend 2000->2600	2475	3.36091
live blend 2000->2600	2500	3.35782
live blend 2000->2600	2525	3.35498
live blend 2000->2600	2550	3.35108
live blend 2000->2600	2575	3.34733
live blend 2000->2600	2600	3.34423
live blend 2000->2600	2625	3.34048
live blend 2000->2600	2650	3.33686
live blend 2000->2600	2675	3.33301
live blend 2000->2600	2700	3.33018
live blend 2000->2600	2725	3.32710
live blend 2000->2600	2750	3.32375
live blend 2000->2600	2775	3.32035
live blend 2000->2600	2800	3.31707
live blend 2000->2600	2825	3.31448
live blend 2000->2600	2850	3.31197
live blend 2000->2600	2875	3.30953
live blend 2000->2600	2900	3.30708
live blend 2000->2600	2925	3.30450
live blend 2000->2600	2950	3.30244
live blend 2000->2600	2975	3.30058
live blend 2000->2600	3000	3.29893
live h3075 blend1800->2000 + ramp2350x1.5	1600	3.48242
live h3075 blend1800->2000 + ramp2350x1.5	1625	3.48121
live h3075 blend1800->2000 + ramp2350x1.5	1650	3.47462
live h3075 blend1800->2000 + ramp2350x1.5	1675	3.47042
live h3075 blend1800->2000 + ramp2350x1.5	1700	3.46614
live h3075 blend1800->2000 + ramp2350x1.5	1725	3.46193
live h3075 blend1800->2000 + ramp2350x1.5	1750	3.45942
live h3075 blend1800->2000 + ramp2350x1.5	1775	3.45641
live h3075 blend1800->2000 + ramp2350x1.5	1800	3.44941
live h3075 blend1800->2000 + ramp2350x1.5	1825	3.44566
live h3075 blend1800->2000 + ramp2350x1.5	1850	3.44113
live h3075 blend1800->2000 + ramp2350x1.5	1875	3.43256
live h3075 blend1800->2000 + ramp2350x1.5	1900	3.42386
live h3075 blend1800->2000 + ramp2350x1.5	1925	3.41516
live h3075 blend1800->2000 + ramp2350x1.5	1950	3.40759
live h3075 blend1800->2000 + ramp2350x1.5	1975	3.39954
live h3075 blend1800->2000 + ramp2350x1.5	2000	3.39313
live h3075 blend1800->2000 + ramp2350x1.5	2025	3.38830
live h3075 blend1800->2000 + ramp2350x1.5	2050	3.38435
live h3075 blend1800->2000 + ramp2350x1.5	2075	3.38100
live h3075 blend1800->2000 + ramp2350x1.5	2100	3.37693
live h3075 blend1800->2000 + ramp2350x1.5	2125	3.37380
live h3075 blend1800->2000 + ramp2350x1.5	2150	3.37012
live h3075 blend1800->2000 + ramp2350x1.5	2175	3.36709
live h3075 blend1800->2000 + ramp2350x1.5	2750	3.32054
live h3075 blend1800->2000 + ramp2350x1.5	2775	3.31813
live h3075 blend1800->2000 + ramp2350x1.5	2800	3.31578
live h3075 blend1800->2000 + ramp2350x1.5	2825	3.31386
live h3075 blend1800->2000 + ramp2350x1.5	2850	3.31203
live h3075 blend1800->2000 + ramp2350x1.5	2875	3.31022
live h3075 blend1800->2000 + ramp2350x1.5	2900	3.30841
live h3075 blend1800->2000 + ramp2350x1.5	2925	3.30656
live h3075 blend1800->2000 + ramp2350x1.5	2950	3.30514
live h3075 blend1800->2000 + ramp2350x1.5	2975	3.30377
live h3075 blend1800->2000 + ramp2350x1.5	3000	3.30262
live h3075 blend1800->2000 + ramp2600x1.6	1600	3.48242
live h3075 blend1800->2000 + ramp2600x1.6	1625	3.48019
live h3075 blend1800->2000 + ramp2600x1.6	1650	3.47456
live h3075 blend1800->2000 + ramp2600x1.6	1675	3.47047
live h3075 blend1800->2000 + ramp2600x1.6	1700	3.46661
live h3075 blend1800->2000 + ramp2600x1.6	1725	3.46178
live h3075 blend1800->2000 + ramp2600x1.6	1750	3.45921
live h3075 blend1800->2000 + ramp2600x1.6	1775	3.45627
live h3075 blend1800->2000 + ramp2600x1.6	1800	3.44916
live h3075 blend1800->2000 + ramp2600x1.6	1825	3.44567
live h3075 blend1800->2000 + ramp2600x1.6	1850	3.44102
live h3075 blend1800->2000 + ramp2600x1.6	1875	3.43247
live h3075 blend1800->2000 + ramp2600x1.6	1900	3.42389
live h3075 blend1800->2000 + ramp2600x1.6	1925	3.41516
live h3075 blend1800->2000 + ramp2600x1.6	1950	3.40755
live h3075 blend1800->2000 + ramp2600x1.6	1975	3.39950
live h3075 blend1800->2000 + ramp2600x1.6	2000	3.39308
live oldtail h3075,p1.10 control	1600	3.48242
live oldtail h3075,p1.10 control	1625	3.48075
live oldtail h3075,p1.10 control	1650	3.47469
live oldtail h3075,p1.10 control	1675	3.47077
live oldtail h3075,p1.10 control	1700	3.46707
live oldtail h3075,p1.10 control	1725	3.46186
live oldtail h3075,p1.10 control	1750	3.45958
live oldtail h3075,p1.10 control	1775	3.45645
live oldtail h3075,p1.10 control	1800	3.44963
live oldtail h3075,p1.10 control	1825	3.44594
live oldtail h3075,p1.10 control	1850	3.44367
live oldtail h3075,p1.10 control	1875	3.43844
live oldtail h3075,p1.10 control	1900	3.43443
live oldtail h3075,p1.10 control	1925	3.43023
live oldtail h3075,p1.10 control	1950	3.42731
live oldtail h3075,p1.10 control	1975	3.42339
live oldtail h3075,p1.10 control	2000	3.41928
live oldtail h3075,p1.10 control	2025	3.40095
live oldtail h3075,p1.10 control	2050	3.39220
live oldtail h3075,p1.10 control	2075	3.38643
live oldtail h3075,p1.10 control	2100	3.38101
live oldtail h3075,p1.10 control	2125	3.37698
live oldtail h3075,p1.10 control	2150	3.37268
live oldtail h3075,p1.10 control	2175	3.36920
live oldtail h3075,p1.10 control	2200	3.36557
live oldtail h3075,p1.10 control	2225	3.36322
live oldtail h3075,p1.10 control	2250	3.36007
live oldtail h3075,p1.10 control	2275	3.35667
live oldtail h3075,p1.10 control	2300	3.35401
live oldtail h3075,p1.10 control	2325	3.35194
live oldtail h3075,p1.10 control	2350	3.34951
live oldtail h3075,p1.10 control	2375	3.34681
live oldtail h3075,p1.10 control	2400	3.34382
live oldtail h3075,p1.10 control	2425	3.34161
live oldtail h3075,p1.10 control	2450	3.33888
live oldtail h3075,p1.10 control	2475	3.33718
live oldtail h3075,p1.10 control	2500	3.33486
live oldtail h3075,p1.10 control	2525	3.33290
live oldtail h3075,p1.10 control	2550	3.33062
live oldtail h3075,p1.10 control	2575	3.32829
live oldtail h3075,p1.10 control	2600	3.32650
live oldtail h3075,p1.10 control	2625	3.32438
live oldtail h3075,p1.10 control	2650	3.32246
live oldtail h3075,p1.10 control	2675	3.32024
live oldtail h3075,p1.10 control	2700	3.31872
live oldtail h3075,p1.10 control	2725	3.31700
live oldtail h3075,p1.10 control	2750	3.31538
live oldtail h3075,p1.10 control	2775	3.31368
live oldtail h3075,p1.10 control	2800	3.31207
old cd500->softmerge p1.10	0	10.82580
old cd500->softmerge p1.10	125	4.64777
old cd500->softmerge p1.10	250	4.11407
old cd500->softmerge p1.10	375	3.93945
old cd500->softmerge p1.10	500	3.82914
old cd500->softmerge p1.10	625	3.75307
old cd500->softmerge p1.10	750	3.69612
old cd500->softmerge p1.10	875	3.65062
old cd500->softmerge p1.10	1000	3.61075
old cd500->softmerge p1.10	1125	3.58352
