label	step	kind	name	surface	shape	fro	op	stable_rank	rank90	rank95	rank99	top1_energy	top8_energy	top32_energy	top64_energy
red1600	1600	weight	blocks.0.attn.q.weight	attn_q	768x768	93.21708953432305	7.422222137451172	157.7332226050042	381.0	457.0	584.0	0.006339818482655374	0.04301598513121867	0.15204966086654353	0.27787626776078866
red1600	1600	weight	blocks.0.attn.k.weight	attn_k	768x768	90.9673705237213	10.279207229614258	78.31627767468825	381.0	458.0	586.0	0.012768737607190939	0.05249047593225316	0.16229195540441538	0.2881445971895983
red1600	1600	weight	blocks.0.attn.v.weight	attn_v	768x768	82.35754746834075	6.316534519195557	170.00005182050106	385.0	461.0	586.0	0.005882351148080095	0.04177414552507849	0.14775529180402075	0.2703408238826806
red1600	1600	weight	blocks.0.attn.proj.weight	attn_o	768x768	78.79767282215573	7.675163745880127	105.40263915974282	372.0	449.0	579.0	0.009487428474010517	0.05352249696489088	0.17085985400334786	0.2996453652519286
red1600	1600	weight	blocks.0.mlp.fc.weight	mlp_fc	3072x768	189.77325079881516	15.652474403381348	146.99548345987438	583.0	658.0	740.0	0.0068029301068489745	0.03215762921854688	0.09522699305986027	0.1692424553028861
red1600	1600	weight	blocks.0.mlp.proj.weight	mlp_proj	768x3072	97.54245369805652	6.958617210388184	196.49046178992626	544.0	628.0	729.0	0.005089305561656878	0.03070806252443451	0.10022937650154538	0.18527239227747774
red1600	1600	weight	blocks.1.attn.q.weight	attn_q	768x768	90.33097778101929	8.307246208190918	118.2385973391995	381.0	458.0	585.0	0.008457475160426917	0.05311403194870743	0.16727038945999517	0.292521181810631
red1600	1600	weight	blocks.1.attn.k.weight	attn_k	768x768	87.52118605122133	10.265525817871094	72.68821309044611	380.0	458.0	585.0	0.01375738868082639	0.0588706990377237	0.1709685532402228	0.2963266706162844
red1600	1600	weight	blocks.1.attn.v.weight	attn_v	768x768	80.69637405209883	7.04144287109375	131.33628557021518	378.0	456.0	584.0	0.007614042042215201	0.05035115973366388	0.16697976385047789	0.29549864389747116
red1600	1600	weight	blocks.1.attn.proj.weight	attn_o	768x768	79.95736779098284	8.066561698913574	98.25169300318369	374.0	451.0	580.0	0.010177941666283517	0.05183578022053222	0.1648185620145489	0.29107258756698307
red1600	1600	weight	blocks.1.mlp.fc.weight	mlp_fc	3072x768	202.4488747190263	13.97614574432373	209.82434547184621	560.0	643.0	735.0	0.004765891192231446	0.03316777243788302	0.11093760424311161	0.19913141065352688
red1600	1600	weight	blocks.1.mlp.proj.weight	mlp_proj	768x3072	101.196967206903	9.651191711425781	109.94440044600736	561.0	644.0	736.0	0.00909550641909308	0.04148683508753929	0.11912234759272924	0.205018334816813
red1600	1600	weight	blocks.2.attn.q.weight	attn_q	768x768	91.37485571979033	9.350021362304688	95.50546266441883	372.0	451.0	580.0	0.010470605262797774	0.06164030370950071	0.18674964902478425	0.31702629515790465
red1600	1600	weight	blocks.2.attn.k.weight	attn_k	768x768	89.64030498243382	10.149397850036621	78.00565659462397	376.0	455.0	583.0	0.012819583138653029	0.0655768413110785	0.18444163926558477	0.3110437373951529
red1600	1600	weight	blocks.2.attn.v.weight	attn_v	768x768	87.2592278877283	6.962238311767578	157.0814694821153	377.0	454.0	582.0	0.006366123281739838	0.04693214000207518	0.1632096253991804	0.2924070718757539
red1600	1600	weight	blocks.2.attn.proj.weight	attn_o	768x768	83.49170465437719	7.275218486785889	131.70267261156926	375.0	451.0	580.0	0.0075928603434593945	0.04940014874970327	0.16256443970092876	0.28892897972175063
red1600	1600	weight	blocks.2.mlp.fc.weight	mlp_fc	3072x768	203.92472378000173	15.904376983642578	164.40175495628685	558.0	641.0	734.0	0.006082660128937749	0.035928437623727966	0.1155281149858137	0.20397091914349602
red1600	1600	weight	blocks.2.mlp.proj.weight	mlp_proj	768x3072	101.9295147470177	9.307847023010254	119.92271060967865	559.0	642.0	735.0	0.008338704111306942	0.04203845209929488	0.12078436911744428	0.20720100720210224
red1600	1600	weight	blocks.3.attn.q.weight	attn_q	768x768	89.5205681891388	8.9376859664917	100.3218345487685	372.0	450.0	580.0	0.009967919790321213	0.06334418337498544	0.1880154330839731	0.3177639917007326
red1600	1600	weight	blocks.3.attn.k.weight	attn_k	768x768	88.2636597519755	10.238018989562988	74.32450141492082	376.0	454.0	583.0	0.013454513396833196	0.06867147000073331	0.18800001128180766	0.31410818250705586
red1600	1600	weight	blocks.3.attn.v.weight	attn_v	768x768	88.49749786805415	7.423673629760742	142.10986696199902	372.0	450.0	579.0	0.007036809064548667	0.05109020108493129	0.1724496979059438	0.3037653010145365
red1600	1600	weight	blocks.3.attn.proj.weight	attn_o	768x768	86.02630638720345	7.274537563323975	139.84655744861496	367.0	445.0	574.0	0.00715069443427264	0.04705242237605069	0.1613440036325546	0.29199154858357024
red1600	1600	weight	blocks.3.mlp.fc.weight	mlp_fc	3072x768	204.56446684052926	15.958230018615723	164.32020358385623	558.0	641.0	734.0	0.006085678925596498	0.03723201871417523	0.11886507040452321	0.2079289742535403
red1600	1600	weight	blocks.3.mlp.proj.weight	mlp_proj	768x3072	103.26644182798447	9.202163696289062	125.93269990962374	558.0	641.0	734.0	0.007940749310684638	0.04226734982659629	0.124654472346936	0.2115406259017373
red1600	1600	weight	blocks.4.attn.q.weight	attn_q	768x768	86.02875836384598	8.501684188842773	102.39467663390406	360.0	440.0	573.0	0.009766132702145656	0.06672841561798598	0.19647037633748848	0.3310898032214521
red1600	1600	weight	blocks.4.attn.k.weight	attn_k	768x768	88.20996292139426	8.742012977600098	101.8151457818037	352.0	431.0	565.0	0.00982172143762445	0.057063562961976115	0.19429549138861998	0.34537073648787425
red1600	1600	weight	blocks.4.attn.v.weight	attn_v	768x768	95.44498988291633	8.024531364440918	141.47083227242982	374.0	451.0	579.0	0.007068594875262371	0.04946984028845309	0.16653995656266146	0.29512423378978986
red1600	1600	weight	blocks.4.attn.proj.weight	attn_o	768x768	90.74650798205681	7.739043235778809	137.49448757672985	370.0	446.0	574.0	0.007273018850606227	0.04765887125474366	0.16169675853153612	0.2887109880063805
red1600	1600	weight	blocks.4.mlp.fc.weight	mlp_fc	3072x768	206.3258477960287	16.86473846435547	149.67458270541763	562.0	644.0	735.0	0.0066811611024709	0.03672507591064094	0.11617223087772623	0.20353376868494627
red1600	1600	weight	blocks.4.mlp.proj.weight	mlp_proj	768x3072	104.42072351789179	9.466730117797852	121.66716749503833	565.0	647.0	737.0	0.008219144248926323	0.04276540653445079	0.12273407765219908	0.2079187481012731
red1600	1600	weight	blocks.5.attn.q.weight	attn_q	768x768	87.9410286028015	9.028348922729492	94.87819311087297	362.0	442.0	574.0	0.010539829724955003	0.06777078842814482	0.19945650660673325	0.33296860939094913
