label	step	surface	n	fro_mean	fro_median	op_mean	op_median	stable_rank_mean	stable_rank_median	rank90_mean	rank90_median	top1_energy_mean	top1_energy_median	top32_energy_mean	top32_energy_median	top64_energy_mean	top64_energy_median
cold2250	2250	attn_k	12	83.69736599875608	83.46065046344445	9.385038216908773	9.391457557678223	80.61261463020021	75.87495276830546	360.3333333333333	357.0	0.012636767064793391	0.012867241127779394	0.19988037303394987	0.19870186811171459	0.3368498759913652	0.341989442675899
cold2250	2250	attn_o	12	92.00955658686355	91.17699348314244	7.515849947929382	7.577201843261719	151.13827850055233	138.90917018252122	376.4166666666667	376.0	0.006947066511810924	0.0063697173492339	0.15555911270503825	0.1536047728163647	0.28045138595793534	0.27676618137412057
cold2250	2250	attn_q	12	83.37524960867752	82.28760241809668	8.975932041803995	9.017702102661133	90.0622916277502	83.26778862364966	358.9166666666667	356.0	0.011831807047202067	0.011012857821304716	0.20484084488287588	0.20518204869220702	0.33961211800800767	0.3397494168481077
cold2250	2250	attn_v	12	98.39969976233174	97.56492229536187	7.9469868739446	8.191676139831543	153.50682900209566	155.38810563191734	371.9166666666667	372.0	0.006599104054878836	0.006421125883529111	0.16222716014347774	0.16000385163822498	0.29219264284843277	0.29200302361194586
cold2250	2250	mlp_fc	12	193.87802722925605	195.47833959290733	17.925243695576984	16.9886531829834	125.9528899618209	116.25111191138404	565.25	564.0	0.008738273920793857	0.007500739912996409	0.11417597299436842	0.11328979011391006	0.19891097915493006	0.1996746383413417
cold2250	2250	mlp_proj	12	99.82947739803461	99.27941550870452	8.88025414943695	8.73651123046875	131.49659996348848	129.1345155735283	562.6666666666666	564.0	0.007992402322820516	0.0076788886802083055	0.11782818335788998	0.11727845603302696	0.2022002527113702	0.20097211077437283
cold2400	2400	attn_k	12	83.22406405531915	83.02693051899637	9.341569503148397	9.351799964904785	80.44364841839614	75.88216504820414	360.0833333333333	357.0	0.01266252633876958	0.012912515936963699	0.20012714141566126	0.19894369773672166	0.33715155576121675	0.342448907718364
cold2400	2400	attn_o	12	91.51616058860354	90.66304158462256	7.476447224617004	7.5326104164123535	151.10425945725822	139.03412304863616	376.5833333333333	376.0	0.006950149275919497	0.00637305055713563	0.15555407617197928	0.15367693208731956	0.2804158552756925	0.2768545036055233
cold2400	2400	attn_q	12	82.89184758822036	81.80078936431481	8.94405690828959	8.990450859069824	89.70002294968138	82.78507256014193	358.6666666666667	355.0	0.011888294683187292	0.01105387144684266	0.20529325774562865	0.20572057558005363	0.3401655792272867	0.3403398261822758
cold2400	2400	attn_v	12	97.88651968061419	97.02425498135763	7.90862774848938	8.151256561279297	153.3752551367299	155.05107585574783	372.0833333333333	372.0	0.006605324010936108	0.00643550120423419	0.16221345209322613	0.16002472306085333	0.2921469079538907	0.29197594887286626
cold2400	2400	mlp_fc	12	192.78420969064538	194.3495662620578	17.820892731348675	16.88945960998535	125.94812616317137	116.32543015372241	565.0833333333334	564.0	0.008734592613363573	0.00749880823861711	0.11422171608861137	0.11332886205953986	0.1989789273307042	0.19969930653988488
cold2400	2400	mlp_proj	12	99.25946140752156	98.69891875040983	8.833574930826822	8.698407173156738	131.3701321994623	128.74943681219924	562.6666666666666	564.0	0.007999806773136126	0.007658065726370765	0.11789110724479035	0.11737091599182643	0.20226967260161632	0.2010806324183213
cold2500	2500	attn_k	12	83.01013582235782	82.83459021409776	9.321537176767984	9.338638305664062	80.37665275770847	75.94716217413011	359.9166666666667	357.0	0.012673409976473801	0.012945458661186184	0.2002387435843983	0.19903747235471578	0.33729446694794457	0.34269669146187776
cold2500	2500	attn_o	12	91.29153827986143	90.42822116791721	7.458471695582072	7.511460304260254	151.09134368104654	139.13487487840888	376.5833333333333	376.0	0.006951431935413592	0.006373258177289021	0.1555564577223617	0.15371377934631025	0.28039493782228025	0.2768753750333586
cold2500	2500	attn_q	12	82.67250102984939	81.58279800109518	8.930241068204245	8.976118087768555	89.5257745029989	82.60761576893351	358.3333333333333	355.0	0.011916092337694008	0.01107519511276095	0.2054953952590709	0.2059426432546854	0.3404072830105738	0.34061333652497006
cold2500	2500	attn_v	12	97.65330274728394	96.77881313528803	7.890441497166951	8.13588809967041	153.3538130961505	155.04928329670273	372.0833333333333	372.0	0.006606701371926735	0.006442737237012345	0.16221031558287147	0.16004653702106436	0.29212814508929735	0.2919415650255005
