label	step	kind	state_idx	name	assumed_name_if_shape_mismatch	surface	shape	fro	op	stable_rank	rank90	rank95	rank99	top1_energy	top8_energy	top32_energy	top64_energy
red1600	1600	muon_momentum	0	blocks.0.mlp.fc.weight		mlp_fc	3072x768	321.5594326870229	114.56609344482422	7.87789707731147	365.0	485.0	670.0	0.12693742888315002	0.252357226076405	0.4026747113392559	0.5191450715739623
red1600	1600	muon_momentum	1	blocks.1.mlp.fc.weight		mlp_fc	3072x768	224.8567686467321	130.52284240722656	2.967828984696088	281.0	399.0	611.0	0.33694663848779755	0.43914569508027385	0.5659087318311384	0.6559424978010207
red1600	1600	muon_momentum	2	blocks.2.mlp.fc.weight		mlp_fc	3072x768	232.6248656635829	137.75430297851562	2.8516874353311126	301.0	426.0	636.0	0.35066956764281176	0.44611029686280523	0.5664584342120574	0.6518289402904788
red1600	1600	muon_momentum	3	blocks.3.mlp.fc.weight		mlp_fc	3072x768	264.2122134762131	163.875	2.5994434233363064	279.0	409.0	629.0	0.3846977360701817	0.4922000448551139	0.6059110601877737	0.6853798180637184
red1600	1600	muon_momentum	4	blocks.4.mlp.fc.weight		mlp_fc	3072x768	267.4246243102905	161.09510803222656	2.7557389094512277	311.0	441.0	650.0	0.3628790799340051	0.4486738039896924	0.5689851223050284	0.6532935352361946
red1600	1600	muon_momentum	5	blocks.5.mlp.fc.weight		mlp_fc	3072x768	292.43968395209293	194.7637481689453	2.2545317715988555	293.0	430.0	647.0	0.4435510790299601	0.5167829362754968	0.6213751579930507	0.6942484591680914
red1600	1600	muon_momentum	6	blocks.6.mlp.fc.weight		mlp_fc	3072x768	266.2624263532127	144.49493408203125	3.395584520696004	348.0	478.0	670.0	0.2945001056239433	0.38760149568352353	0.5215126274333316	0.6122643668673834
red1600	1600	muon_momentum	7	blocks.7.mlp.fc.weight		mlp_fc	3072x768	258.3999594862584	118.3149642944336	4.769858898106114	379.0	505.0	684.0	0.2096498075440036	0.31016734785141603	0.4616873506501803	0.5631644944457048
red1600	1600	muon_momentum	8	blocks.8.mlp.fc.weight		mlp_fc	3072x768	260.9625212554477	124.54190826416016	4.390614006484818	376.0	504.0	684.0	0.2277585773932819	0.33343840598996166	0.48214491388305863	0.5783015662297878
red1600	1600	muon_momentum	9	blocks.9.mlp.fc.weight		mlp_fc	3072x768	254.56000643266805	95.26496887207031	7.140257891125835	404.0	527.0	693.0	0.1400509638794469	0.25339155382686024	0.4190763652838953	0.526192289784245
red1600	1600	muon_momentum	10	blocks.10.mlp.fc.weight		mlp_fc	3072x768	265.72162948281044	87.89555358886719	9.139448670709497	415.0	536.0	697.0	0.10941579038622358	0.2276220974478143	0.3973615545869348	0.5070593335429708
red1600	1600	muon_momentum	11	blocks.11.mlp.fc.weight		mlp_fc	3072x768	294.9308314037378	80.68216705322266	13.3624233274021	423.0	541.0	699.0	0.07483672500850325	0.20595646102017276	0.37588314130701006	0.48765436644965227
red1600	1600	muon_momentum	12	blocks.0.mlp.proj.weight		mlp_proj	768x3072	701.9258329766757	311.8984680175781	5.064726061611041	368.0	492.0	677.0	0.19744404491679646	0.2789487527777432	0.4168877275440754	0.5289275367687073
red1600	1600	muon_momentum	13	blocks.1.mlp.proj.weight		mlp_proj	768x3072	381.09199594717285	116.62936401367188	10.676867449223792	426.0	542.0	699.0	0.09366043034211313	0.195798942655085	0.331039611326387	0.44534788356187893
red1600	1600	muon_momentum	14	blocks.2.mlp.proj.weight		mlp_proj	768x3072	474.24932459097926	318.7076416015625	2.214259321815932	329.0	466.0	668.0	0.4516182861454059	0.5322785709298654	0.6067181705101187	0.6714373198734647
red1600	1600	muon_momentum	15	blocks.3.mlp.proj.weight		mlp_proj	768x3072	342.65019516994295	94.98542785644531	13.013316823190113	454.0	565.0	708.0	0.07684435978827248	0.17134018242295307	0.30355057753427983	0.4158292062506837
red1600	1600	muon_momentum	16	blocks.4.mlp.proj.weight		mlp_proj	768x3072	359.94962755224515	78.10079193115234	21.240883091163283	462.0	571.0	710.0	0.04707902188944413	0.135058318908925	0.2734402916325327	0.39042054471502263
red1600	1600	muon_momentum	17	blocks.5.mlp.proj.weight		mlp_proj	768x3072	361.20493879859947	75.21987915039062	23.05908620266791	464.0	573.0	711.0	0.04336685292777565	0.13330395814187912	0.2693969227485958	0.3843779829656624
red1600	1600	muon_momentum	18	blocks.6.mlp.proj.weight		mlp_proj	768x3072	362.49161628236317	68.24474334716797	28.213534924618717	474.0	580.0	714.0	0.03544398114847405	0.11003445938224729	0.24661754568671487	0.36346740651856546
red1600	1600	muon_momentum	19	blocks.7.mlp.proj.weight		mlp_proj	768x3072	367.9741414148554	65.08804321289062	31.961867427394093	474.0	581.0	714.0	0.031287283268777756	0.09847336716087089	0.23860836209158684	0.35813845688362156
red1600	1600	muon_momentum	20	blocks.8.mlp.proj.weight		mlp_proj	768x3072	363.31825752362073	60.95791244506836	35.52337841730249	476.0	582.0	714.0	0.02815047567415285	0.10327091823991685	0.24118009744306648	0.3571031225105084
red1600	1600	muon_momentum	21	blocks.9.mlp.proj.weight		mlp_proj	768x3072	387.58251137661	66.62297821044922	33.843889791927566	465.0	573.0	710.0	0.029547431047317725	0.10702541701021615	0.25197067471679335	0.3727269696683816
