from_label	to_label	from_step	to_step	surface	n	delta_fro_mean	delta_fro_median	delta_stable_rank_mean	delta_stable_rank_median	delta_top1_energy_mean	delta_top1_energy_median	delta_top32_energy_mean	delta_top32_energy_median	w_top16_outside_left_frac_mean	w_top16_outside_left_frac_median	w_top16_outside_right_frac_mean	w_top16_outside_right_frac_median	w_top16_outside_both_frac_mean	w_top16_outside_both_frac_median	w_top32_outside_left_frac_mean	w_top32_outside_left_frac_median	w_top32_outside_right_frac_mean	w_top32_outside_right_frac_median	w_top32_outside_both_frac_mean	w_top32_outside_both_frac_median	w_top64_outside_left_frac_mean	w_top64_outside_left_frac_median	w_top64_outside_right_frac_mean	w_top64_outside_right_frac_median	w_top64_outside_both_frac_mean	w_top64_outside_both_frac_median	w_top128_outside_left_frac_mean	w_top128_outside_left_frac_median	w_top128_outside_right_frac_mean	w_top128_outside_right_frac_median	w_top128_outside_both_frac_mean	w_top128_outside_both_frac_median
cold2250	cold2400	2250	2400	attn_k	12	2.8074047566190607	2.819971967517232	234.26237368344127	233.66408396913678	0.00426946267766929	0.004279595463019262	0.12489261210702113	0.12455381074362028	0.9876324435075124	0.9876578450202942	0.988021249572436	0.9880446195602417	0.9982909560203552	0.9982995390892029	0.9753642429908117	0.9754416942596436	0.9763060013453165	0.9762985706329346	0.996339350938797	0.9962659478187561	0.9509192109107971	0.950945258140564	0.9527539114157358	0.9529087543487549	0.9914033462603887	0.991462230682373	0.9022756566603979	0.9019321203231812	0.9055660963058472	0.9055895209312439	0.9771439582109451	0.977264940738678
cold2250	cold2400	2250	2400	attn_o	12	2.70354916270443	2.706122439860285	230.26328503880237	229.7884265108402	0.004343087364540948	0.004351319145589096	0.1270333887625269	0.12704404876673786	0.988388275106748	0.9883687496185303	0.9881814072529475	0.9881079792976379	0.9981962343056997	0.9981456995010376	0.9767441848913828	0.9765084981918335	0.9762861480315527	0.9761050939559937	0.9961198270320892	0.996012270450592	0.9533527394135793	0.9527468681335449	0.9522969027360281	0.9523258209228516	0.9909379432598749	0.9907582998275757	0.9058447033166885	0.9047878384590149	0.9036029030879339	0.9041763544082642	0.9762006849050522	0.975907027721405
cold2250	cold2400	2250	2400	attn_q	12	2.8178495229858007	2.835928084092495	235.71500070889138	235.56869780497397	0.004243052678025445	0.0042419045978740015	0.12461895711842626	0.12409169741570802	0.9878849883874258	0.9878497123718262	0.9880419770876566	0.9880582690238953	0.9985184172789255	0.9985414743423462	0.9758264273405075	0.9758173227310181	0.9762431333462397	0.976130485534668	0.9966080437103907	0.996599018573761	0.9517193188269933	0.9515882134437561	0.9527019063631693	0.9526396989822388	0.9916908840338389	0.9916486144065857	0.903016189734141	0.9027350544929504	0.9049598673979441	0.9047491550445557	0.9771614323059717	0.9771095514297485
cold2250	cold2400	2250	2400	attn_v	12	2.6869129481636835	2.681552604903318	227.3679277833925	227.2771142344207	0.004398670844845991	0.004398417185448023	0.1282879237150293	0.12862669640674812	0.9878036479155222	0.9877990484237671	0.9881306638320287	0.9879589080810547	0.9979790250460306	0.9979543089866638	0.975570023059845	0.9756472706794739	0.9760888566573461	0.9756753444671631	0.9956143995126089	0.9955101609230042	0.9511366784572601	0.9510790109634399	0.9520578781763712	0.9514709711074829	0.9899665216604868	0.9898273348808289	0.9019400924444199	0.901696503162384	0.9035293261210123	0.9028440713882446	0.9744184066851934	0.9737169742584229
cold2250	cold2400	2250	2400	mlp_fc	12	6.027796799883671	6.027114636361561	363.40418682478844	362.3191829721962	0.0027530906024054135	0.0027329764462379886	0.08258899576001284	0.08219033423004121	0.9958250820636749	0.9958670735359192	0.9892667631308237	0.989210844039917	0.9988301247358322	0.9988084435462952	0.9919934868812561	0.9920104742050171	0.9783882151047388	0.9782463908195496	0.9977803428967794	0.9977301955223083	0.9846095889806747	0.9845800399780273	0.9561726351579031	0.955822229385376	0.9954903970162073	0.9954026341438293	0.9702993830045065	0.9703404903411865	0.9102299511432648	0.9099289178848267	0.9898686011632284	0.9897670745849609
cold2250	cold2400	2250	2400	mlp_proj	12	2.9733420675985456	2.983271369787854	350.17065484478604	354.3915845312761	0.0028600491059140357	0.002818177818713786	0.08486552377233092	0.08404723421380045	0.9889865865310034	0.9891532063484192	0.9954963972171148	0.9955049157142639	0.9986770153045654	0.9987063407897949	0.9780981640021006	0.9782381653785706	0.991324116786321	0.991452157497406	0.9975208590428034	0.9975592494010925	0.9558897316455841	0.9560328722000122	0.9832443445920944	0.9837053418159485	0.9949642270803452	0.9949792623519897	0.9101197371880213	0.910595715045929	0.9676071852445602	0.9688301086425781	0.9887605557839075	0.9889315366744995
cold2400	cold2500	2400	2500	attn_k	12	1.468306131054726	1.4706880485096263	257.9600470424279	258.2450645296869	0.003877017037053544	0.003869898216003829	0.11495755968443667	0.11458212339916438	0.9878117243448893	0.987784206867218	0.9881762564182281	0.9881612062454224	0.9986752569675446	0.9986372590065002	0.9757822453975677	0.9759032726287842	0.9766853402058283	0.9766538143157959	0.9970943530400594	0.99713134765625	0.9516655653715134	0.9517666101455688	0.9534990837176641	0.9536001682281494	0.9927238275607427	0.9927918910980225	0.9036735345919927	0.9035605192184448	0.9067460596561432	0.9068076610565186	0.9792765577634176	0.9793730974197388
cold2400	cold2500	2400	2500	attn_o	12	1.4393134126702212	1.4410638997074907	254.33982707603005	254.41439140300972	0.003931919438051921	0.003928617526435024	0.11647702881576487	0.11627981704434531	0.9884610424439112	0.9882756471633911	0.9882324586311976	0.9881455302238464	0.9986574500799179	0.9986028671264648	0.9770037233829498	0.9768655896186829	0.9764323780934016	0.9763437509536743	0.9969787001609802	0.9968529939651489	0.9540392408768336	0.9538236260414124	0.9525269965330759	0.9525578618049622	0.9924377004305521	0.9923578500747681	0.9073875894149145	0.9070077538490295	0.9037501066923141	0.9038084149360657	0.978580633799235	0.9782990217208862
cold2400	cold2500	2400	2500	attn_q	12	1.471667702408188	1.4776455575468	259.23442699524804	258.98367569073537	0.003858138047266643	0.0038550019280359396	0.11469392288300102	0.11417960677581285	0.9879940201838812	0.9879444241523743	0.9881663123766581	0.988157331943512	0.9988561968008677	0.9988610744476318	0.9760182847579321	0.9759549498558044	0.9764102001984915	0.9764299392700195	0.9972025901079178	0.9971759915351868	0.9521361986796061	0.9520105123519897	0.9531615624825159	0.9529587030410767	0.9927572757005692	0.9927560687065125	0.9041121055682501	0.9037942886352539	0.9058484633763632	0.9060305953025818	0.9789958496888479	0.978823721408844
cold2400	cold2500	2400	2500	attn_v	12	1.4293693644600596	1.4298685928469297	251.58089733709528	250.93850605524193	0.0039751926013523444	0.003978834141521541	0.11776522429479985	0.1177624619114872	0.9879373808701833	0.9878684282302856	0.9883492042620977	0.9881735444068909	0.9984891812006632	0.998377799987793	0.9759557892878851	0.975853681564331	0.9766440788904825	0.9765245914459229	0.9966069807608923	0.9963946342468262	0.9519585371017456	0.951931893825531	0.9531576335430145	0.9529436230659485	0.9917482485373815	0.99132239818573	0.9034529775381088	0.903374433517456	0.9055419514576594	0.9053370356559753	0.9774367064237595	0.976849377155304
