label	step	surface	n	fro_mean	fro_median	op_mean	op_median	stable_rank_mean	stable_rank_median	rank90_mean	rank90_median	top1_energy_mean	top1_energy_median	top32_energy_mean	top32_energy_median	top64_energy_mean	top64_energy_median
cold2250	2250	attn_k	12	253.29751141241715	209.15508039789518	127.07339509328206	87.58319091796875	7.029267598637477	3.3149215004168777	139.58333333333334	131.0	0.2561952137114188	0.22842029560484178	0.6872034551864284	0.6809005521286816	0.7869875209117049	0.7797416639653137
cold2250	2250	attn_o	12	180.65391839015376	161.68919113920387	102.14638614654541	60.39104080200195	4.297746981336099	3.432308504309913	150.25	165.0	0.2966080190878282	0.19857362678134208	0.6878275527023741	0.6522392241731646	0.7828058667909179	0.7591691338153395
cold2250	2250	attn_q	12	238.11710684787803	159.01853518143727	121.5466906229655	80.07469940185547	6.160509155015994	3.9437089928035913	147.91666666666666	152.0	0.24891673650798674	0.20909005141838385	0.6684960658909643	0.6603908442009047	0.7716331335406359	0.7691489222050628
cold2250	2250	attn_v	12	200.62041604777133	168.29348551154618	95.01761150360107	61.8748664855957	6.361121126694772	5.4816248377525	164.08333333333334	175.0	0.21642298991935652	0.17110097548140515	0.6484371248386401	0.6408294170539157	0.7543132093357521	0.7443251157954216
cold2250	2250	mlp_fc	12	321.6523675310912	316.00809671193554	148.38793182373047	143.43539428710938	5.680378188962358	4.339823800863213	350.8333333333333	359.0	0.23029896141754858	0.20433844819231486	0.49224185843718854	0.47025566794166335	0.5911477329739818	0.5710363399279075
cold2250	2250	mlp_proj	12	532.3673572112475	464.29583780171885	168.2748063405355	103.26701354980469	17.212836609579973	18.943065823908285	416.6666666666667	421.0	0.11313010816867582	0.04632450441791565	0.35670166400310643	0.30333847849185286	0.4703899636491375	0.4213650851182632
cold2400	2400	attn_k	12	263.4364328049275	206.14068125615088	136.4087953567505	98.15799713134766	6.433105466891766	3.402289617520728	132.0	127.0	0.2734886590289633	0.22673781277293042	0.7047515814763887	0.7192442416465501	0.7996147955050633	0.808374699403876
cold2400	2400	attn_o	12	185.07155032663647	158.9238160153317	107.76695664723714	62.644344329833984	4.1911226640997175	3.1214051918932824	146.41666666666666	162.0	0.31184432165318937	0.22527341593701963	0.694338051843885	0.6532414105948156	0.7879355205558859	0.7650514352362427
cold2400	2400	attn_q	12	249.5114332911763	162.58184237100403	132.3165168762207	87.61558532714844	5.848436016906825	4.2550354086590065	141.75	147.0	0.2647518059722158	0.22932389735797665	0.6842710810912762	0.6750972569899576	0.7826553873313055	0.778699632444297
cold2400	2400	attn_v	12	204.76534712047965	170.65239592333592	100.6867888768514	65.5876235961914	5.752393312149177	4.973629414124055	160.33333333333334	171.0	0.23121545626967824	0.18007344378863152	0.6579715126499904	0.6366724548757637	0.7609872651222723	0.7406656752835565
cold2400	2400	mlp_fc	12	331.1054049272063	323.19585780142665	156.11243311564127	145.69607543945312	5.4882737877263175	4.224112198900809	345.1666666666667	357.0	0.23994614290411498	0.20377521850279715	0.5025156350497667	0.46987646667558136	0.6002242205714077	0.5724116683519813
cold2400	2400	mlp_proj	12	545.8623574675111	478.36412321055184	178.18732452392578	112.23222351074219	15.610676110088454	17.04212048987865	412.0833333333333	417.0	0.1183574718873892	0.05349043374356471	0.367442036476538	0.31680770844988554	0.48075114460221924	0.4355377471834225
cold2500	2500	attn_k	12	281.71488881584077	227.49016118834678	151.67138576507568	92.9314193725586	6.094853208835542	3.3041430679348345	125.0	114.0	0.28685275258873316	0.27532816281809186	0.719147886441672	0.7089283769513198	0.8102241354812821	0.8039675218289558
cold2500	2500	attn_o	12	194.11643121593315	166.90369603456958	113.70335070292155	69.49710845947266	3.9444285277964184	3.159767171456867	141.08333333333334	162.0	0.3153730246239383	0.19879680477940614	0.7057393544630282	0.660950869321697	0.7965891038546555	0.7667277538851207
cold2500	2500	attn_q	12	260.44066024634077	167.84200741508366	141.74615987141928	93.54920959472656	5.776741059194708	3.9649070432903666	137.25	141.0	0.27387669817362975	0.23156704120290514	0.6937747497385844	0.685855922480072	0.7896646072388144	0.7849813736496306
cold2500	2500	attn_v	12	216.26315528837924	179.8853421714093	107.25718466440837	69.78931427001953	5.465478549526992	5.062995586940999	153.41666666666666	165.0	0.2362405352343007	0.1955472564639754	0.6726912307400115	0.6557594301084116	0.7728851775443785	0.7580105688712849
cold2500	2500	mlp_fc	12	342.8604481088062	335.32626369701495	164.12397321065268	151.91172790527344	5.28165183413162	3.9476785094678313	340.0833333333333	347.0	0.24699859880998618	0.20342672397648867	0.5129207910116014	0.4739899864696921	0.6088146228363737	0.5764340847297196
cold2500	2500	mlp_proj	12	569.4522140946361	493.5551039397729	195.00472259521484	118.74024200439453	14.338482462479773	16.301894487231177	405.4166666666667	410.0	0.1275747263360328	0.060451830220885086	0.3810210494798887	0.3268789443293228	0.4931296898209392	0.4452673894472905
cold2600	2600	attn_k	12	283.13611975132386	224.42066909879313	156.5885394414266	103.28353881835938	5.55023689804612	2.9364538153757738	122.5	109.0	0.30533671358945136	0.3061816493420987	0.7256363551858441	0.7166373562613617	0.81433018579264	0.8047139291650282
cold2600	2600	attn_o	12	193.7230312001303	166.92774213338538	113.22886530558269	71.04161834716797	4.075780291432438	3.2101889331104227	140.58333333333334	156.0	0.3111893843274232	0.20003513826130304	0.7061587419014209	0.6714950710498516	0.7970108918214477	0.7736324197646226
cold2600	2600	attn_q	12	259.8530570175141	161.78864733426138	142.12378311157227	89.98918914794922	5.851542304645739	4.990483542617835	138.75	139.0	0.27135650356937263	0.19730567852743158	0.6903116398446687	0.6975023280807536	0.7869203701313693	0.7928633302646554
cold2600	2600	attn_v	12	218.719881046121	177.72364871479542	112.69472630818684	73.65938568115234	5.195243347253188	4.872462275968353	151.0	164.0	0.24937733747056476	0.19845212555210168	0.6778727151242522	0.6666774188826075	0.7761753511341843	0.7638078711960445
cold2600	2600	mlp_fc	12	341.42270111202214	337.99687960837747	163.76677894592285	149.9973907470703	5.287239044011955	3.9397289681428855	340.5833333333333	346.0	0.24770377466416282	0.20377834305622763	0.511978426660331	0.4737311540654035	0.6084217287675524	0.5763848308250742
cold2600	2600	mlp_proj	12	570.5839648659921	507.1891443288194	200.5807622273763	130.93585205078125	13.754580013237032	13.541208879781093	402.5833333333333	411.0	0.1355520147330678	0.06245521834117415	0.38839196005348314	0.3409575655941572	0.4992108120209709	0.4573199319791716
good2000	2000	attn_k	12	250.25546042443332	234.65986022326018	128.73881371816	86.96222686767578	5.961164838033753	3.2090431637591625	130.66666666666666	126.0	0.2694003152141768	0.2838983581781323	0.7083775773355151	0.7035630945484275	0.8020194275838081	0.7960500211541094
good2000	2000	attn_o	12	167.99809398489876	153.16250178527707	92.72001663843791	63.73994445800781	4.365646879756899	4.1027513085753045	156.33333333333334	169.0	0.2831843827745029	0.19762810804784542	0.6719540881363236	0.6402144769538828	0.7719227866376043	0.748479149864194
good2000	2000	attn_q	12	228.27361691262317	151.40340232100135	110.20050811767578	73.0240707397461	6.449261323730494	5.51665933688196	147.58333333333334	146.0	0.22213129662584993	0.17777156461618615	0.671028554190387	0.6493225082975841	0.7735745084838221	0.7581413411667015
good2000	2000	attn_v	12	192.98793219523324	172.79855278256818	91.98760350545247	61.5833625793457	6.434149576883658	5.103515305681748	161.5	162.0	0.22433360880701325	0.16969572139562664	0.6549476200864083	0.6544752452141142	0.7591194541825091	0.7545868079365136
good2000	2000	mlp_fc	12	305.6775984095826	299.7291355332344	139.32477378845215	131.228759765625	5.902622259273045	4.4316723404013425	350.4166666666667	357.0	0.22607048379317607	0.18491778399468878	0.4918378990876364	0.4549251044322937	0.5908914173227232	0.5593152832291025
good2000	2000	mlp_proj	12	503.69231798260233	437.2916646815944	150.62184842427573	84.50032043457031	20.062743966609162	25.084086399601734	419.6666666666667	424.0	0.10049237270664675	0.039507866244216094	0.3531841140185567	0.2994783473765468	0.4663369990446286	0.41741780373598675
red1600	1600	attn_k	12	206.70370832135404	174.8667796495378	104.69511890411377	72.48389434814453	7.134299999519655	3.5488304945214777	150.83333333333334	137.0	0.265643211268382	0.22441012562734394	0.6604140040406967	0.6508047037774568	0.7665215134310365	0.7578190977303415
red1600	1600	attn_o	12	148.06300361349582	136.90912816536377	79.82556295394897	53.04518508911133	4.55341334595371	4.0633706879396145	166.58333333333334	180.0	0.275802463577917	0.22652544244248696	0.6517543665850293	0.61475462504331	0.7552621286586622	0.7332105704168601
red1600	1600	attn_q	12	193.302737047362	136.75553433728012	93.21372604370117	60.185401916503906	6.93795741793162	5.251633879051729	161.75	162.0	0.22376669612877964	0.1567539124169001	0.6305413168132709	0.6289387611590073	0.7445151208977837	0.7469222186574745
red1600	1600	attn_v	12	163.30010528207887	143.66315991103983	74.03852558135986	51.47312545776367	6.533710392367826	5.019726267685107	178.91666666666666	183.0	0.2026515979715027	0.14688553168330634	0.6142542032342968	0.5987343313819216	0.7277352759595015	0.7134129209562287
red1600	1600	mlp_fc	12	266.99624692917246	264.2122134762131	129.4809659322103	124.54190826416016	5.292109576354119	3.395584520696004	347.9166666666667	348.0	0.2551577916569424	0.2277585773932819	0.49908159758439297	0.48214491388305863	0.5945395616211009	0.5783015662297878
red1600	1600	mlp_proj	12	424.1401956560697	367.9741414148554	126.63039112091064	78.10079193115234	19.93881116138045	21.240883091163283	435.1666666666667	454.0	0.09795812459130737	0.04336685292777565	0.3233176994405887	0.2734402916325327	0.4357062917261743	0.39042054471502263
