from_label	to_label	from_step	to_step	name	surface	shape	delta_fro	delta_op	delta_stable_rank	delta_rank90	delta_rank95	delta_rank99	delta_top1_energy	delta_top8_energy	delta_top32_energy	delta_top64_energy	w_top16_delta_norm	w_top16_outside_left_frac	w_top16_outside_right_frac	w_top16_outside_both_frac	w_top32_delta_norm	w_top32_outside_left_frac	w_top32_outside_right_frac	w_top32_outside_both_frac	w_top64_delta_norm	w_top64_outside_left_frac	w_top64_outside_right_frac	w_top64_outside_both_frac	w_top128_delta_norm	w_top128_outside_left_frac	w_top128_outside_right_frac	w_top128_outside_both_frac
red1600	good2000	1600	2000	blocks.0.attn.q.weight	attn_q	768x768	15.271300401956504	1.0676084756851196	204.61053625504826	398.0	475.0	597.0	0.004887333850459656	0.037696587771043136	0.14047626634228008	0.2604747359659122	15.269652366638184	0.9862959980964661	0.9866106510162354	0.9959545135498047	15.269652366638184	0.9726296663284302	0.9734435677528381	0.9919371008872986	15.269652366638184	0.9457412958145142	0.9475899934768677	0.98372483253479	15.269652366638184	0.8930506706237793	0.8966761231422424	0.9639497995376587
red1600	good2000	1600	2000	blocks.0.attn.k.weight	attn_k	768x768	15.1948229556425	1.0596789121627808	205.60926846000166	398.0	473.0	595.0	0.004863593978471528	0.0377798246990888	0.14018815520987368	0.26013444142454706	15.193122863769531	0.9866176247596741	0.9867679476737976	0.996489405632019	15.193122863769531	0.9731730222702026	0.9739219546318054	0.9927820563316345	15.193122863769531	0.9468697309494019	0.9486773610115051	0.9850115776062012	15.193122863769531	0.8945043683052063	0.8980913162231445	0.9664395451545715
red1600	good2000	1600	2000	blocks.0.attn.v.weight	attn_v	768x768	14.262869394318066	0.9956997632980347	205.19038642755822	397.0	473.0	595.0	0.004873522670386152	0.037648416000897696	0.14023911314712204	0.26001573137977096	14.261240005493164	0.9869862794876099	0.9885939955711365	0.9974045753479004	14.261240005493164	0.9742752909660339	0.9768074154853821	0.9945011734962463	14.261240005493164	0.9487431645393372	0.9535196423530579	0.9879348874092102	14.261240005493164	0.8973809480667114	0.9055379629135132	0.9712485074996948
red1600	good2000	1600	2000	blocks.0.attn.proj.weight	attn_o	768x768	13.84449673053086	0.9706502556800842	203.43646471334523	396.0	472.0	594.0	0.004915539607951125	0.03794723657385216	0.14079352990070845	0.26066255849020614	13.84288215637207	0.9885786175727844	0.9900145530700684	0.9977477788925171	13.84288215637207	0.9766271114349365	0.9787777066230774	0.9950200319290161	13.84288215637207	0.9525667428970337	0.9555342197418213	0.9886870980262756	13.84288215637207	0.9040634036064148	0.907503604888916	0.9726492166519165
red1600	good2000	1600	2000	blocks.0.mlp.fc.weight	mlp_fc	3072x768	30.65568954157664	1.7159987688064575	319.14513214363643	575.0	653.0	738.0	0.003133370680866076	0.02424749693337359	0.09157438102596879	0.17332605907315823	30.65256118774414	0.9955208897590637	0.9900302886962891	0.9985142946243286	30.65256118774414	0.9903274774551392	0.9786184430122375	0.996360719203949	30.65256118774414	0.979680597782135	0.9548198580741882	0.9912605881690979	30.65256118774414	0.9580294489860535	0.9066655039787292	0.9800385236740112
red1600	good2000	1600	2000	blocks.0.mlp.proj.weight	mlp_proj	768x3072	14.793855288493091	0.8365530967712402	312.7344522623149	572.0	652.0	739.0	0.003197601008670518	0.024671907733536877	0.09353650866535854	0.17697998506318863	14.792353630065918	0.9892610907554626	0.9943975806236267	0.9977882504463196	14.792353630065918	0.9778145551681519	0.9880369901657104	0.9949579834938049	14.792353630065918	0.9549136757850647	0.9757460951805115	0.9893673658370972	14.792353630065918	0.9084618091583252	0.9519274234771729	0.9777827262878418
red1600	good2000	1600	2000	blocks.1.attn.q.weight	attn_q	768x768	14.599159822719145	1.0441423654556274	195.49527835425792	396.0	472.0	594.0	0.005115213054853914	0.03859679084676554	0.14243618076572773	0.2634132218636737	14.59752082824707	0.9875110983848572	0.9870951175689697	0.9972437620162964	14.59752082824707	0.9747142195701599	0.9743208289146423	0.9938471913337708	14.59752082824707	0.949256181716919	0.9489480257034302	0.9862103462219238	14.59752082824707	0.8977379202842712	0.8979026675224304	0.9672619104385376
red1600	good2000	1600	2000	blocks.1.attn.k.weight	attn_k	768x768	14.676277710693752	1.0398145914077759	199.21407065404586	396.0	472.0	594.0	0.005019725748873406	0.03867308163131719	0.14261489122559048	0.2632032408038422	14.674610137939453	0.9867592453956604	0.9871463775634766	0.9969081878662109	14.674610137939453	0.9736775159835815	0.9742758870124817	0.9935569763183594	14.674610137939453	0.9477570056915283	0.9479528665542603	0.9856027364730835	14.674610137939453	0.8962650299072266	0.8963835835456848	0.9665820002555847
red1600	good2000	1600	2000	blocks.1.attn.v.weight	attn_v	768x768	13.958285173171737	0.9852901697158813	200.6946707937354	396.0	472.0	594.0	0.004982693342304804	0.03841253575268062	0.14225155680451995	0.2624437263125397	13.956758499145508	0.9867712259292603	0.9879633784294128	0.9962751865386963	13.956758499145508	0.9734259247779846	0.9753502011299133	0.9922600984573364	13.956758499145508	0.9471583366394043	0.9504088163375854	0.983921229839325	13.956758499145508	0.8955762386322021	0.9000377058982849	0.9646288752555847
red1600	good2000	1600	2000	blocks.1.attn.proj.weight	attn_o	768x768	13.734731068514376	0.9800831079483032	196.38780605415718	395.0	471.0	593.0	0.005091965840914957	0.03833151424783366	0.14208293978345043	0.2627221192573229	13.733235359191895	0.9866547584533691	0.9872089624404907	0.9957221150398254	13.733235359191895	0.9731522798538208	0.9743813276290894	0.991163432598114	13.733235359191895	0.9468258023262024	0.9492151737213135	0.9821579456329346	13.733235359191895	0.8943673372268677	0.8984456062316895	0.9617218375205994
red1600	good2000	1600	2000	blocks.1.mlp.fc.weight	mlp_fc	3072x768	30.925928036234318	1.71611750125885	324.75170366681203	572.0	651.0	737.0	0.003079275608746237	0.024077110701804755	0.0909112860597257	0.172445755935068	30.922727584838867	0.9949641823768616	0.9886300563812256	0.997941255569458	30.922727584838867	0.9903346300125122	0.9767420887947083	0.9959355592727661	30.922727584838867	0.9811684489250183	0.9525671601295471	0.9915691018104553	30.922727584838867	0.963757336139679	0.9030561447143555	0.9823794364929199
red1600	good2000	1600	2000	blocks.1.mlp.proj.weight	mlp_proj	768x3072	15.340935412040762	0.8487637639045715	326.6856284033871	575.0	654.0	740.0	0.0030610468078663476	0.023950217213653636	0.09101263919970559	0.17272633348902625	15.339372634887695	0.9884240627288818	0.9944121241569519	0.9975094795227051	15.339372634887695	0.976972758769989	0.9891161322593689	0.9950945973396301	15.339372634887695	0.9536601305007935	0.978797435760498	0.9900703430175781	15.339372634887695	0.9060420393943787	0.9593307375907898	0.9797487854957581
red1600	good2000	1600	2000	blocks.2.attn.q.weight	attn_q	768x768	15.203341789307375	1.063112735748291	204.51231288916492	399.0	474.0	596.0	0.0048896811437556245	0.03769058253261664	0.13996572572553012	0.2593913782959918	15.201616287231445	0.9872453808784485	0.9873110055923462	0.9972602725028992	15.201616287231445	0.9743225574493408	0.9746206402778625	0.9939355850219727	15.201616287231445	0.9488307237625122	0.9492917060852051	0.9863491654396057	15.201616287231445	0.8981965184211731	0.8995715975761414	0.9682796001434326
red1600	good2000	1600	2000	blocks.2.attn.k.weight	attn_k	768x768	15.145597698297413	1.0670512914657593	201.4662247561996	397.0	473.0	595.0	0.004963611152242171	0.03842042413860586	0.1417226026900644	0.2621029084470513	15.143902778625488	0.9872367978096008	0.9873272776603699	0.9971424341201782	15.143902778625488	0.9742874503135681	0.9741933941841125	0.9936006665229797	15.143902778625488	0.9483899474143982	0.9491592049598694	0.9861898422241211	15.143902778625488	0.8968465924263	0.8986517190933228	0.9676689505577087
red1600	good2000	1600	2000	blocks.2.attn.v.weight	attn_v	768x768	14.138734334930762	0.9968874454498291	201.1540602409689	396.0	472.0	594.0	0.004971314020716599	0.037978466320166195	0.14098988916483268	0.2613721038622091	14.137126922607422	0.9866328239440918	0.9872331619262695	0.9958493709564209	14.137126922607422	0.9732674360275269	0.9744145274162292	0.9916557669639587	14.137126922607422	0.9467817544937134	0.9488901495933533	0.9827026724815369	14.137126922607422	0.8945194482803345	0.8983312845230103	0.9628008008003235
red1600	good2000	1600	2000	blocks.2.attn.proj.weight	attn_o	768x768	14.014504140138007	0.9846067428588867	202.59553600781177	395.0	471.0	593.0	0.004935942912194479	0.03814735599884553	0.14153958863971577	0.2623224737087646	14.012958526611328	0.9872146248817444	0.9881799817085266	0.9961013197898865	14.012958526611328	0.9740517735481262	0.9759847521781921	0.9917727112770081	14.012958526611328	0.9469736218452454	0.9503346085548401	0.9821019172668457	14.012958526611328	0.8941798210144043	0.9004077911376953	0.9611764550209045
red1600	good2000	1600	2000	blocks.2.mlp.fc.weight	mlp_fc	3072x768	31.45416315661271	1.7389657497406006	327.17056181995264	573.0	652.0	737.0	0.0030565097129683586	0.023784217531847816	0.09043594051381187	0.17185280077800108	31.450862884521484	0.994955837726593	0.9883941411972046	0.9979571104049683	31.450862884521484	0.9901337027549744	0.9763047695159912	0.9958664774894714	31.450862884521484	0.9808093309402466	0.9519738554954529	0.9913751482963562	31.450862884521484	0.9629384279251099	0.902068555355072	0.9816866517066956
red1600	good2000	1600	2000	blocks.2.mlp.proj.weight	mlp_proj	768x3072	15.70107505665043	0.8707779049873352	325.12021371242804	577.0	655.0	740.0	0.0030757853797565154	0.023863444275599537	0.09037872254587888	0.17158727053132172	15.699423789978027	0.9885281920433044	0.9948236346244812	0.9978252053260803	15.699423789978027	0.9771221876144409	0.9896931648254395	0.9955163598060608	15.699423789978027	0.953827977180481	0.9796697497367859	0.9906444549560547	15.699423789978027	0.9060848951339722	0.9604159593582153	0.9802455902099609
red1600	good2000	1600	2000	blocks.3.attn.q.weight	attn_q	768x768	15.267890816685663	1.0705617666244507	203.3923495494427	398.0	474.0	596.0	0.004916605773104114	0.03790309866506496	0.14051950847934916	0.26018838910628905	15.266146659851074	0.9876015186309814	0.9869219064712524	0.9973928928375244	15.266146659851074	0.974694550037384	0.9741066694259644	0.9940195083618164	15.266146659851074	0.9486238360404968	0.9485714435577393	0.9863139390945435	15.266146659851074	0.8976872563362122	0.8977250456809998	0.9673712849617004
red1600	good2000	1600	2000	blocks.3.attn.k.weight	attn_k	768x768	15.253214012781914	1.0660873651504517	204.70908436409954	398.0	473.0	595.0	0.004884981060348942	0.037846407683654146	0.14007333986942636	0.2597216513688904	15.251459121704102	0.9869856834411621	0.9868353605270386	0.9969379305839539	15.251459121704102	0.9739592671394348	0.9745275974273682	0.9934815764427185	15.251459121704102	0.9478664398193359	0.9488153457641602	0.9852315783500671	15.251459121704102	0.89601069688797	0.8977364897727966	0.9660636186599731
red1600	good2000	1600	2000	blocks.3.attn.v.weight	attn_v	768x768	14.000953096917021	0.9875651001930237	200.99429893750147	394.0	470.0	593.0	0.004975265494027503	0.038325947093460204	0.14245140134064463	0.2640909159903961	13.999399185180664	0.9868840575218201	0.9880782961845398	0.9964550137519836	13.999399185180664	0.9732657670974731	0.9753808379173279	0.9922646284103394	13.999399185180664	0.9460363984107971	0.9495382308959961	0.9828237295150757	13.999399185180664	0.8924348950386047	0.8980718851089478	0.9615948796272278
