lane	last_step	last_val	val_2525	val_2550	val_2575	val_2600
track3_locom_tail2500_ungated_norm005_seed3710_to2600	2600	3.33829	3.34036	3.33962	3.33891	3.33829
track3_locom_tail2500_ungated_softpolar_norm005_seed3710_to2600	2600	3.33830	3.34037	3.33963	3.33892	3.33830
